epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.808,1.58785,1.40302,1.1625,0.68562,0.66641,0.69935,0.32772,1.82653,1.52692,1.286,0.000664,0.000664,0.000664
2,534.897,1.54645,1.05455,1.15334,0.73756,0.60395,0.69802,0.31884,1.9173,1.48022,1.41061,0.0012648,0.0012648,0.0012648
3,806.188,1.54301,0.972,1.15567,0.7253,0.76586,0.82052,0.46082,1.54884,1.13264,1.22145,0.0017996,0.0017996,0.0017996
4,1071.53,1.48736,0.89737,1.13712,0.87316,0.81548,0.88303,0.45209,1.66011,1.05418,1.29849,0.001703,0.001703,0.001703
5,1349.49,1.4551,0.8514,1.12763,0.7364,0.71527,0.78196,0.42291,1.54117,1.26492,1.2426,0.001604,0.001604,0.001604
6,1621.33,1.43538,0.82123,1.11885,0.90247,0.8191,0.90069,0.52296,1.48438,0.91201,1.21685,0.001505,0.001505,0.001505
7,1965.67,1.39649,0.77148,1.10596,0.90594,0.77314,0.87528,0.51133,1.50006,0.97916,1.21298,0.001406,0.001406,0.001406
8,2365.98,1.40256,0.75972,1.10079,0.91235,0.81376,0.89728,0.52024,1.50263,0.89006,1.19568,0.001307,0.001307,0.001307
9,2768.81,1.37553,0.73881,1.09142,0.869,0.83123,0.90107,0.51508,1.51136,0.90423,1.18764,0.001208,0.001208,0.001208
10,3229.49,1.35585,0.72387,1.08529,0.84687,0.78629,0.87687,0.49519,1.52226,0.98063,1.22923,0.001109,0.001109,0.001109
11,3634.76,1.31259,0.6837,1.08723,0.87453,0.74746,0.88054,0.51146,1.52076,0.88306,1.20946,0.00101,0.00101,0.00101
12,4045.18,1.28626,0.66584,1.07885,0.82685,0.81433,0.82845,0.49233,1.44649,0.88855,1.188,0.000911,0.000911,0.000911
13,4445.29,1.27154,0.65039,1.07303,0.90203,0.78406,0.87638,0.50413,1.46655,0.90687,1.2167,0.000812,0.000812,0.000812
14,4743.82,1.25093,0.6364,1.06148,0.93746,0.81376,0.90534,0.53366,1.48508,0.84997,1.22995,0.000713,0.000713,0.000713
15,5023.53,1.24865,0.61837,1.05544,0.91221,0.79881,0.91334,0.52827,1.46448,0.8051,1.17403,0.000614,0.000614,0.000614
